Subject,Stimuli,FixStart,FixEnd,FixDur,XPos,YPos,ROI,Block,Trial,ImageType,Species,SubjectName,roi_type,roi_index,saliency,area
Cheyenne_20240702_1420,FStil07.png,318.871,438.854,123.431,912,398,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,4,155.51419067382812,159797
Cheyenne_20240702_1420,FStil07.png,455.634,785.525,333.279,883,652,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,119.50566101074219,1442006
Cheyenne_20240702_1420,SStil04.png,234.217,390.778,159.992,835,408,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,63.469940185546875,1639293
Cheyenne_20240702_1420,SStil04.png,404.098,540.834,140.074,713,665,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,1,113.79291534423828,184974
Cheyenne_20240702_1420,FStil15.png,95.852,339.269,246.734,915,543,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,72.86715698242188,1705245
Cheyenne_20240702_1420,FStil15.png,362.492,535.89,176.743,1504,244,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,59.32388687133789,1705245
Cheyenne_20240702_1420,SStil03.png,243.397,473.467,233.308,156,762,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,51.779685974121094,1624272
Cheyenne_20240702_1420,SStil03.png,516.705,669.985,156.736,999,660,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,149.98489379882812,1624272
Cheyenne_20240702_1420,SStil03.png,986.728,1140.05,156.561,1258,689,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,1,134.1714630126953,118382
Cheyenne_20240702_1420,SStil03.png,1520.01,1693.309,176.526,269,630,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,2,7,94.4471435546875,71167
Cheyenne_20240702_1420,SStil03.png,1819.954,1956.503,139.984,1484,573,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,1,194.1582794189453,118382
Cheyenne_20240702_1420,FStil14.png,204.867,351.529,150.09,465,905,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,15.608457565307617,1766566
Cheyenne_20240702_1420,FStil14.png,781.574,981.556,203.196,26,313,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,7.7724385261535645,1766566
Cheyenne_20240702_1420,FStil14.png,1224.732,1374.83,153.369,1051,370,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,8,71.37206268310547,39108
Cheyenne_20240702_1420,FStil14.png,1404.74,1574.802,173.293,89,109,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,10.142913818359375,1766566
Cheyenne_20240702_1420,FStil14.png,1604.699,1801.449,199.953,966,473,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,8,54.13818359375,39108
Cheyenne_20240702_1420,FStil14.png,2777.861,2954.629,179.993,1355,255,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,18.276023864746094,1766566
Cheyenne_20240702_1420,SStil11.png,316.959,503.605,190.076,1387,573,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,3,137.92588806152344,155852
Cheyenne_20240702_1420,SStil11.png,520.359,636.904,119.994,1627,162,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,59.175865173339844,1456869
Cheyenne_20240702_1420,FStil17.png,215.99,405.848,193.296,979,330,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,56.06258773803711,1751219
Cheyenne_20240702_1420,FStil17.png,425.839,635.919,213.31,1064,711,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,182.4053192138672,115270
Cheyenne_20240702_1420,FStil17.png,662.581,815.895,156.527,1172,287,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,43.515541076660156,1751219
Cheyenne_20240702_1420,FStil17.png,1052.426,1342.497,293.301,600,768,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,69.39864349365234,1751219
Cheyenne_20240702_1420,FStil17.png,1355.825,1578.992,226.615,499,862,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,71.21392059326172,1751219
Cheyenne_20240702_1420,FStil17.png,1599.029,1712.344,116.751,410,448,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,33.04576873779297,1751219
Cheyenne_20240702_1420,FStil17.png,1739.047,1982.409,246.558,318,902,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,30.866680145263672,1751219
Cheyenne_20240702_1420,SStil10.png,365.004,561.544,199.966,767,994,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,29.84637451171875,1442288
Cheyenne_20240702_1420,SStil10.png,571.638,708.234,139.996,717,839,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,99.34571838378906,1442288
Cheyenne_20240702_1420,SStil10.png,731.633,871.606,143.238,823,600,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,143.80393981933594,1442288
Cheyenne_20240702_1420,SStil10.png,884.937,1021.492,139.991,910,344,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,93.30773162841797,1442288
Cheyenne_20240702_1420,SStil10.png,1041.456,1268.115,230.091,730,812,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,87.59721374511719,1442288
Cheyenne_20240702_1420,FStil13.png,233.066,399.746,170.006,1029,326,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,55.56834030151367,1769406
Cheyenne_20240702_1420,FStil13.png,429.737,649.713,223.313,215,172,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,18.761371612548828,1769406
Cheyenne_20240702_1420,FStil13.png,666.38,846.355,183.311,203,542,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,29.617305755615234,1769406
Cheyenne_20240702_1420,FStil13.png,1182.974,1356.284,176.651,657,285,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,110.96694946289062,1769406
Cheyenne_20240702_1420,FStil13.png,1372.958,1646.254,276.621,651,236,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,81.57695770263672,1769406
Cheyenne_20240702_1420,FStil13.png,1656.239,1819.559,166.654,607,249,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,74.0181655883789,1769406
